province,total_posts_all,joy_mean_all,sadness_mean_all,anger_mean_all,fear_mean_all,surprise_mean_all,neutral_mean_all,emotional_intensity_mean,fear_variance,joy_variance
上海,1850,0.24166486486486485,0.10446486486486486,0.11313513513513514,0.04478918918918919,0.06784864864864866,0.4280972972972973,0.5719027027027027,0.011717451478520165,0.08524600985192872
云南,925,0.2507243243243243,0.08702702702702703,0.0812972972972973,0.03781621621621622,0.05875675675675676,0.4843783783783784,0.5156216216216216,0.009032022464022463,0.08527317608517607
内蒙古,814,0.26308353808353807,0.08255528255528256,0.07948402948402948,0.029975429975429974,0.047051597051597054,0.49785012285012287,0.5021498771498771,0.00830701046568205,0.0899977371702464
北京,1911,0.23714809000523285,0.08474097331240188,0.11071166928309785,0.03619047619047619,0.049105180533751965,0.4821036106750392,0.5178963893249607,0.009576788830715525,0.09070437544006707
台湾,334,0.3529940119760479,0.08365269461077844,0.062185628742514966,0.04026946107784431,0.06059880239520959,0.40029940119760477,0.5997005988023951,0.012495122367876869,0.09966067864271454
吉林,875,0.27010285714285714,0.092,0.08008000000000001,0.030571428571428572,0.05405714285714286,0.47318857142857146,0.5268114285714285,0.007486629617522063,0.09224243792088907
四川,1836,0.26889978213507626,0.09049564270152506,0.0855119825708061,0.03167211328976035,0.056998910675381265,0.466421568627451,0.5335784313725491,0.008302870088392615,0.09149273981466646
天津,1363,0.28035216434336024,0.0901540719002201,0.10081438004402055,0.03269992663242847,0.05316947909024211,0.4428099779897285,0.5571900220102715,0.008626625748893285,0.0952072180331241
宁夏,241,0.2736514522821577,0.0775103734439834,0.0729045643153527,0.04253112033195021,0.0470954356846473,0.4863070539419087,0.5136929460580912,0.01444398340248963,0.09966744467496537
安徽,1540,0.26025974025974025,0.08737662337662337,0.09587662337662338,0.03281168831168831,0.05244155844155844,0.4712337662337663,0.5287662337662338,0.008795013248609743,0.0913761508147471
山东,1828,0.2640864332603939,0.08956236323851204,0.08596827133479212,0.03721006564551422,0.05413566739606127,0.46903719912472647,0.5309628008752736,0.010425928481002792,0.09110825087221947
山西,1097,0.2826344576116682,0.0820419325432999,0.08274384685505926,0.029981768459434822,0.0488514129443938,0.4737465815861441,0.5262534184138559,0.00800383178409598,0.08873329052691817
广东,1917,0.2530516431924883,0.08978612415232133,0.11022952529994784,0.035054773082942095,0.05853938445487741,0.45333854981742305,0.546661450182577,0.009220103992080527,0.08619501455497067
广西,1223,0.29727718724448077,0.0926328699918234,0.09443990188062143,0.030490596892886343,0.055331152902698286,0.4298282910874897,0.5701717089125102,0.00872872802116552,0.09723554258062536
新疆,528,0.2636363636363636,0.10170454545454546,0.09507575757575758,0.03865530303030303,0.05950757575757576,0.44142045454545453,0.5585795454545455,0.012478454013570239,0.0845575297567707
江苏,1864,0.25622317596566524,0.09097639484978541,0.10829935622317596,0.03507510729613734,0.0646942060085837,0.44473175965665235,0.5552682403433477,0.009278147871700764,0.08837960878089025
江西,1112,0.2863938848920863,0.0875089928057554,0.08502697841726618,0.03160071942446043,0.05110611510791367,0.45836330935251796,0.5416366906474821,0.008564672114693484,0.09290282581315694
河北,1562,0.26787451984635086,0.08798975672215109,0.08783610755441741,0.032816901408450706,0.04643405889884763,0.4770486555697823,0.5229513444302176,0.008988088170277273,0.09010656207936575
河南,1753,0.27496862521391896,0.08260125499144325,0.08553907586993724,0.03015402167712493,0.05358243011979464,0.473154592127781,0.5268454078722191,0.008154142930449285,0.09164099501962723
浙江,1847,0.271754195993503,0.08926367081754197,0.10399025446670276,0.036118029236599895,0.06465619924201407,0.43421765024363834,0.5657823497563617,0.010519537524174647,0.0916868452898057
海南,476,0.2910714285714286,0.09936974789915966,0.10031512605042017,0.03581932773109244,0.05766806722689075,0.4157563025210084,0.5842436974789915,0.008972169394073418,0.09025169172932324
湖北,1835,0.2694277929155313,0.10365122615803815,0.09664850136239782,0.04106267029972752,0.056648501362397824,0.43256130790190733,0.5674386920980927,0.011217790508678053,0.08675567021949895
湖南,1554,0.29324967824967824,0.09545688545688547,0.08958172458172459,0.03251608751608752,0.06059202059202059,0.42860360360360356,0.5713963963963964,0.008136678749396066,0.09333759763350875
澳门,139,0.25359712230215825,0.08726618705035971,0.12553956834532373,0.03899280575539568,0.06654676258992806,0.42805755395683454,0.5719424460431655,0.013471441976853292,0.0884652278177458
甘肃,606,0.2502970297029703,0.0891914191419142,0.07295379537953796,0.03094059405940594,0.05056105610561056,0.5060561056105611,0.49394389438943886,0.007852502250225019,0.08566569675149331
福建,1695,0.2925368731563422,0.08505604719764012,0.09345132743362833,0.029793510324483775,0.05787610619469027,0.44128613569321534,0.5587138643067846,0.007689154503313801,0.0951612110067461
西藏,144,0.2932638888888889,0.08805555555555555,0.11458333333333333,0.025347222222222226,0.06833333333333333,0.41041666666666665,0.5895833333333333,0.005104773698523698,0.0956738879176379
贵州,652,0.270521472392638,0.08340490797546013,0.07937116564417178,0.03228527607361963,0.05719325153374233,0.4772239263803681,0.5227760736196319,0.008460668108525821,0.0833315248838502
辽宁,1632,0.25183823529411764,0.09341299019607842,0.09655024509803921,0.0382781862745098,0.05423406862745098,0.46568627450980393,0.5343137254901961,0.009887591479724938,0.08855504922999255
重庆,1471,0.3058803535010197,0.086281441196465,0.0977906186267845,0.030000000000000002,0.05861998640380694,0.42142760027192383,0.5785723997280761,0.00847414965986395,0.098058935334841
陕西,1532,0.24231070496083548,0.08960835509138382,0.09703002610966058,0.03568537859007833,0.050783289817232374,0.4845822454308094,0.5154177545691906,0.010389144580326859,0.0844838798853289
青海,138,0.3010144927536232,0.07818840579710146,0.10963768115942028,0.02043478260869565,0.04746376811594203,0.44326086956521743,0.5567391304347826,0.0028655030149159003,0.09179896329207657
香港,523,0.2518164435946462,0.09216061185468452,0.09569789674952198,0.03623326959847036,0.05344168260038241,0.4706500956022945,0.5293499043977055,0.009436550845036371,0.09036546815820894
黑龙江,1156,0.2644463667820069,0.0921712802768166,0.09467993079584776,0.03196366782006921,0.054584775086505194,0.46215397923875434,0.5378460207612457,0.008230686124717258,0.08838419538938565
