date_week,province,total_posts,avg_word_count,joy_mean,sadness_mean,anger_mean,fear_mean,surprise_mean,neutral_mean,joy_std,sadness_std,anger_std,fear_std,surprise_std,neutral_std,dominant_emotion_key,dominant_emotion,dominant_score,positive_index,emotional_intensity,fear_joy_ratio,reliable
2019-W49,北京,35,318.45714285714286,0.13,0.06142857142857142,0.27714285714285714,0.04285714285714286,0.08,0.4085714285714286,0.19561366486611548,0.09631879839558707,0.2744895950944699,0.07965260708304563,0.11769851815749673,0.28296895337020384,neutral,中性,0.4085714285714286,0.33211678832116787,0.5914285714285714,0.3061224489795918,True
2019-W49,台湾,3,357.6666666666667,0.19999999999999998,0.16666666666666666,0.31666666666666665,0.016666666666666666,0.15,0.15,0.17320508075688773,0.15275252316519466,0.30138568866708537,0.02886751345948129,0.21794494717703367,0.13228756555322954,anger,愤怒,0.31666666666666665,0.3921568627450981,0.85,0.07936507936507936,False
2019-W49,吉林,7,217.0,0.22857142857142856,0.06428571428571428,0.37857142857142856,0.07142857142857142,0.07142857142857142,0.18571428571428572,0.2563479777846623,0.13138456820306088,0.26435005651777793,0.14960264830861913,0.11126972805283736,0.06267831705280089,anger,愤怒,0.37857142857142856,0.4359673024523161,0.8142857142857143,0.2994011976047904,False
2019-W49,四川,30,277.8333333333333,0.16666666666666666,0.03666666666666667,0.26833333333333337,0.04,0.09333333333333334,0.39499999999999996,0.16883645082279117,0.09185195484689154,0.26893254292420277,0.08345967434263873,0.11724814044061256,0.25029293183016166,neutral,中性,0.39499999999999996,0.4694835680751173,0.605,0.22641509433962265,True
2019-W49,天津,7,273.57142857142856,0.19999999999999998,0.0,0.5285714285714286,0.0,0.07142857142857142,0.19999999999999998,0.30000000000000004,0.0,0.3683941988065036,0.0,0.048795003647426664,0.23804761428476162,anger,愤怒,0.5285714285714286,0.37135278514588854,0.8,0.0,False
2019-W49,宁夏,4,166.0,0.0125,0.0,0.4,0.0,0.05,0.5375,0.025,0.0,0.46188021535170065,0.0,0.05773502691896258,0.5055937104039172,neutral,中性,0.5375,0.03048780487804878,0.4625,0.0,False
2019-W49,安徽,15,377.93333333333334,0.08333333333333333,0.03333333333333333,0.4166666666666667,0.03333333333333333,0.060000000000000005,0.3733333333333333,0.13451854182690984,0.08997354108424373,0.30276503540974914,0.07943251103624893,0.03872983346207417,0.3011090610836324,anger,愤怒,0.4166666666666667,0.16891891891891891,0.6266666666666667,0.35714285714285715,False
2019-W49,山东,26,283.61538461538464,0.13846153846153847,0.08076923076923077,0.31153846153846154,0.025,0.03076923076923077,0.41346153846153844,0.1796149728211389,0.15689290811054724,0.24178820993079558,0.047434164902525694,0.042607330535773015,0.27149868961293067,neutral,中性,0.41346153846153844,0.324032403240324,0.5865384615384616,0.16839378238341968,False
2019-W49,山西,6,409.0,0.35000000000000003,0.041666666666666664,0.15,0.0,0.09166666666666667,0.3666666666666667,0.3619392214170772,0.06645800679125628,0.28106938645110385,0.0,0.07359800721939873,0.3683295625749672,neutral,中性,0.3666666666666667,1.7355371900826448,0.6333333333333333,0.0,False
2019-W49,广东,35,302.1714285714286,0.11285714285714286,0.09285714285714286,0.2571428571428571,0.038571428571428576,0.08714285714285715,0.4114285714285714,0.206989221495048,0.1284196115811579,0.22594340036404523,0.08051827915020865,0.12680627718205875,0.26626107109976344,neutral,中性,0.4114285714285714,0.2831541218637993,0.5885714285714285,0.3139534883720931,True
