date_month,province,total_posts,joy_mean,sadness_mean,anger_mean,fear_mean,surprise_mean,neutral_mean,joy_std,fear_std,emotional_intensity,dominant_emotion_key,dominant_emotion,dominant_score,reliable
2019-12,上海,95,0.17210526315789476,0.07473684210526316,0.12526315789473685,0.037894736842105266,0.05526315789473684,0.5347368421052632,0.2530364313894391,0.10045529054030153,0.46526315789473693,neutral,中性,0.5347368421052632,True
2019-12,云南,33,0.17121212121212123,0.08787878787878788,0.1803030303030303,0.05909090909090909,0.05454545454545455,0.44696969696969696,0.206545357847822,0.11487394276890094,0.553030303030303,neutral,中性,0.44696969696969696,True
2019-12,内蒙古,17,0.15294117647058825,0.03823529411764706,0.20882352941176469,0.047058823529411764,0.11176470588235295,0.4411764705882353,0.20346267181851665,0.07174300539794393,0.5588235294117647,neutral,中性,0.4411764705882353,False
2019-12,北京,152,0.1638157894736842,0.07552631578947369,0.12664473684210525,0.031710526315789474,0.05230263157894737,0.5499999999999999,0.26188297829102575,0.08427938649397387,0.45000000000000007,neutral,中性,0.5499999999999999,True
2019-12,台湾,8,0.25,0.075,0.16875,0.018750000000000003,0.11875000000000001,0.36875,0.20701966780270625,0.03720119045714225,0.63125,neutral,中性,0.36875,False
2019-12,吉林,21,0.1619047619047619,0.10238095238095238,0.18095238095238095,0.05714285714285714,0.047619047619047616,0.44999999999999996,0.2553941864573085,0.11212238211627763,0.5499999999999999,neutral,中性,0.44999999999999996,False
2019-12,四川,85,0.16941176470588235,0.05411764705882353,0.13470588235294118,0.03882352941176471,0.06411764705882353,0.5388235294117647,0.24677613211928232,0.08741542531288773,0.4611764705882353,neutral,中性,0.5388235294117647,True
2019-12,天津,21,0.2,0.02619047619047619,0.2690476190476191,0.009523809523809525,0.06666666666666668,0.42857142857142855,0.282842712474619,0.030079260375911923,0.5714285714285714,neutral,中性,0.42857142857142855,False
2019-12,宁夏,5,0.13,0.0,0.32,0.0,0.06000000000000001,0.48999999999999994,0.26362852652928137,0.0,0.51,neutral,中性,0.48999999999999994,False
2019-12,安徽,43,0.1325581395348837,0.04186046511627907,0.18604651162790697,0.053488372093023255,0.08139534883720931,0.5046511627906977,0.2151643117785171,0.12928159963594849,0.49534883720930234,neutral,中性,0.5046511627906977,True
