date_week,total_posts,joy_mean,sadness_mean,anger_mean,fear_mean,surprise_mean,neutral_mean,joy_std,sadness_std,anger_std,fear_std,surprise_std,neutral_std,emotional_intensity,dominant_emotion_key,dominant_emotion,positive_index,fear_joy_ratio
2019-W48,48,0.096875,0.009375,0.02395833333333333,0.026041666666666668,0.03125,0.8125,0.15757681342018431,0.03034596611700587,0.09946109221825501,0.09339323369115549,0.09544130423035664,0.2404561268426534,0.1875,neutral,中性,1.3963963963963966,0.2436647173489279
2019-W49,440,0.15372727272727274,0.063,0.2672727272727273,0.03175,0.07397727272727274,0.4102727272727273,0.22783364866514177,0.11171718278485616,0.27398072556090075,0.07078075005669056,0.11372888447262582,0.30346505832389414,0.5897272727272727,neutral,中性,0.413220111185778,0.19392004441976676
2019-W50,278,0.2191007194244604,0.04733812949640288,0.08007194244604317,0.03582733812949641,0.09258992805755396,0.5250719424460432,0.28620304814034303,0.10432229662629122,0.1932077552347624,0.09004130043610324,0.13599128305838148,0.33731873624755876,0.47492805755395673,neutral,中性,1.2647425249169433,0.15638247762600097
2019-W51,239,0.2721757322175732,0.052510460251046026,0.06673640167364016,0.016736401673640166,0.06046025104602511,0.5313807531380753,0.29822632978720737,0.12558257057800873,0.14835306503286247,0.05258264376819698,0.08990773450769662,0.3681925210663278,0.4686192468619247,neutral,中性,1.864431069074233,0.05931198102016608
2019-W52,226,0.18747787610619468,0.10393805309734515,0.11128318584070795,0.016991150442477874,0.035176991150442476,0.5451327433628319,0.28797578902385784,0.1727785368967822,0.2028543853890842,0.06465477493068295,0.07594860602492196,0.36965236532419743,0.4548672566371681,neutral,中性,0.7740226525392765,0.08604077974456642
2020-W01,264,0.09053030303030303,0.07018939393939394,0.048106060606060604,0.0996969696969697,0.04734848484848485,0.6441287878787879,0.2089383426214497,0.12185652802868399,0.12918364665811943,0.17984335978629687,0.0858450265935743,0.3579005088361027,0.3558712121212121,neutral,中性,0.3970759262335936,0.9917106254709873
2020-W02,13,0.13076923076923078,0.023076923076923075,0.038461538461538464,0.0,0.10769230769230768,0.7,0.26890089681459284,0.08320502943378437,0.1386750490563073,0.0,0.1977436828385779,0.3511884584284246,0.30000000000000016,neutral,中性,1.827956989247312,0.0
2020-W03,37,0.07297297297297296,0.07891891891891892,0.07054054054054054,0.09486486486486487,0.05837837837837838,0.6243243243243244,0.18767384333324522,0.10606035451005622,0.1582007505591471,0.14260710636846533,0.09227114372307282,0.33780780647302117,0.37567567567567584,neutral,中性,0.28692879914984054,1.1433224755700329
2020-W04,1020,0.24404901960784314,0.08807843137254902,0.06779411764705882,0.06884313725490196,0.03750980392156863,0.4937254901960785,0.2733946407427716,0.13520541463529792,0.17350097290880012,0.12585111576195399,0.06838150572904293,0.3230130522603907,0.5062745098039216,neutral,中性,1.039764420867967,0.2709836761471076
2020-W05,1011,0.25049455984174085,0.09894164193867458,0.09015825914935707,0.04580613254203759,0.04773491592482691,0.466864490603363,0.282229021390306,0.15424285710269486,0.20584184710197423,0.10711342189694766,0.07540329166245015,0.3278039145152138,0.533135509396637,neutral,中性,1.0228190630048466,0.1758429526123937
2020-W06,916,0.28822052401746723,0.12565502183406113,0.0752292576419214,0.03921397379912664,0.03753275109170306,0.4341484716157205,0.29304692821403416,0.1893200574125416,0.1817674363999354,0.09032929473642341,0.06514065502528105,0.3015284122542492,0.5658515283842795,neutral,中性,1.1524291763062553,0.13149320935681078
2020-W07,896,0.3340401785714286,0.0859375,0.0810825892857143,0.027254464285714288,0.038705357142857146,0.4329799107142857,0.29363218460583057,0.15429280913160107,0.19567059849533547,0.08484916608685368,0.06399631810538392,0.28811532381918437,0.5670200892857142,neutral,中性,1.6352510517401517,0.07921884123791605
2020-W08,846,0.3449763593380615,0.0891725768321513,0.05133569739952719,0.02784869976359338,0.044172576832151304,0.4424940898345154,0.2904926432318357,0.16410712623227539,0.15140208882091272,0.08109957816283041,0.07602063565832941,0.2950575863369207,0.5575059101654847,neutral,中性,1.9341904698787193,0.07845226599180846
2020-W09,852,0.3295774647887324,0.08491784037558685,0.08169014084507041,0.028462441314553992,0.05046948356807512,0.42488262910798125,0.2999993103934965,0.16120030911212682,0.19587210807793523,0.08225155446348291,0.08115508797263297,0.2984438454107989,0.5751173708920188,neutral,中性,1.6071428571428572,0.08381722660030416
2020-W10,808,0.3691584158415841,0.07752475247524752,0.0661509900990099,0.024999999999999998,0.05034653465346535,0.4118193069306931,0.31534648382522396,0.14738383367902427,0.1703438085440838,0.07930147330223962,0.07375822866153661,0.3045292660436601,0.588180693069307,neutral,中性,2.0660802105700626,0.06593550071810941
2020-W11,824,0.2993932038834951,0.08132281553398059,0.09699029126213593,0.0383495145631068,0.0691383495145631,0.4148058252427185,0.30701537516155664,0.13346425487054814,0.2085619800949008,0.10354092610002022,0.09668935506525415,0.3166968970218674,0.5851941747572815,neutral,中性,1.3208759436740374,0.12395073350592298
2020-W12,875,0.31079999999999997,0.07939428571428571,0.10782857142857143,0.035314285714285715,0.06632,0.40034285714285717,0.31959363500104443,0.14245870962844973,0.21966761422386216,0.09782408773519245,0.08354523295590689,0.3275400601607901,0.5996571428571429,neutral,中性,1.3365606723349879,0.11008193801211259
2020-W13,846,0.28550827423167846,0.08264775413711584,0.10659574468085108,0.03438534278959811,0.06970449172576831,0.4211583924349882,0.3040408946374312,0.14215280148938847,0.20205686628432123,0.0942000287582124,0.10357872187264587,0.31287229142276984,0.5788416075650118,neutral,中性,1.2220591955476852,0.11636
2020-W14,934,0.15262312633832978,0.31185224839400427,0.07619914346895075,0.02339400428265525,0.04717344753747323,0.38875802997858677,0.2509170177078958,0.3029237584621134,0.1932400085930016,0.07823988866540593,0.0852154315633394,0.2884466275223538,0.6112419700214132,neutral,中性,0.3621421131519448,0.14385410494436762
